die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
8 3/4 x 11 1/2  BK,11 X 17 ,0,# 329,13 3/8 X 18 7/8,2
8 3/4 x 11 1/2  BK,17 1/2 X 22 1/2,1,# 329,13 3/8 X 18 7/8,2
8 3/4 x 11 1/2  BK,19 X 25,1,# 329,13 3/8 X 18 7/8,2
8 3/4 x 11 1/2  BK,23 X 29,1,# 329,13 3/8 X 18 7/8,2
8 3/4 x 11 1/2  BK,23 X 35,1,# 329,13 3/8 X 18 7/8,2
8 3/4 x 11 1/2  BK,25 X 38,1,# 329,13 3/8 X 18 7/8,2
8 3/4 x 11 1/2  BK,28 X 40,4,# 329,13 3/8 X 18 7/8,2
,,,,,
,,,,,
8 3/4 x 11 1/2  BK,14 X 19 1/2,1,# 99,13 1/2 X 19,2 1/4
8 3/4 x 11 1/2  BK,11 X 17 ,0,# 99,13 1/2 X 19,2 1/4
8 3/4 x 11 1/2  BK,17 1/2 X 22 1/2,1,# 99,13 1/2 X 19,2 1/4
8 3/4 x 11 1/2  BK,19 X 25,1,# 99,13 1/2 X 19,2 1/4
8 3/4 x 11 1/2  BK,23 X 29,1,# 99,13 1/2 X 19,2 1/4
8 3/4 x 11 1/2  BK,23 X 35,1,# 99,13 1/2 X 19,2 1/4
8 3/4 x 11 1/2  BK,25 X 38,1,# 99,13 1/2 X 19,2 1/4
8 3/4 x 11 1/2  BK,28 X 40,4,# 99,13 1/2 X 19,2 1/4
,,,,,
,,,,,
8 3/4 x 11 1/2  BK,14 X 19 15/16,1,# 244,13 1/2 X 19 9/16,2 1/16
8 3/4 x 11 1/2  BK,11 X 17 ,0,# 244,13 1/2 X 19 9/16,2 1/16
8 3/4 x 11 1/2  BK,17 1/2 X 22 1/2,1,# 244,13 1/2 X 19 9/16,2 1/16
8 3/4 x 11 1/2  BK,19 X 25,1,# 244,13 1/2 X 19 9/16,2 1/16
8 3/4 x 11 1/2  BK,23 X 29,1,# 244,13 1/2 X 19 9/16,2 1/16
8 3/4 x 11 1/2  BK,23 X 35,1,# 244,13 1/2 X 19 9/16,2 1/16
8 3/4 x 11 1/2  BK,25 X 38,1,# 244,13 1/2 X 19 9/16,2 1/16
8 3/4 x 11 1/2  BK,28 X 40,4,# 244,13 1/2 X 19 9/16,2 1/16
,,,,,
,,,,,
8 3/4 x 11 1/2  BK,14 3/8 X 19 3/8,1,# 243,13 1/2 X 18 1/2,1 5/8
8 3/4 x 11 1/2  BK,11 X 17 ,0,# 243,13 1/2 X 18 1/2,1 5/8
8 3/4 x 11 1/2  BK,17 1/2 X 22 1/2,1,# 243,13 1/2 X 18 1/2,1 5/8
8 3/4 x 11 1/2  BK,19 X 25,1,# 243,13 1/2 X 18 1/2,1 5/8
